REC_ART;ONRP;BFSNR;PLZ_TYP;POSTLEITZAHL;PLZ_ZZ;GPLZ;ORTBEZ18;ORTBEZ27;KANTON;SPRACHCODE;SPRACHCODE_ ABW;BRIEFZ_DURCH;GILT_AB_DAT;PLZ_BRIEFZUST;PLZ_COFF;Geo Shape;Geokoordinaten
1;5630;6421;80;2301;68;2300;La Chx-de-Fonds 1;La Chaux-de-Fonds 1 Dépôt;NE;2;;1372;2013-05-01;230060;;;
1;5633;360;20;3044;2;3044;Innerberg;Innerberg;BE;1;;1743;1994-03-08;303300;J;;
1;5680;176;20;8317;0;8317;Tagelswangen;Tagelswangen;ZH;1;;7233;1997-08-18;830760;J;;
1;5685;6252;20;3961;41;3961;St-Jean VS;St-Jean VS;VS;2;;2378;1993-02-08;396121;J;;
1;5686;990;20;3380;2;3380;Walliswil-Nbipp;Walliswil b. Niederbipp;BE;1;;2837;1997-11-17;338000;J;;
1;5692;5732;10;1267;1;1267;Vich;Vich;VD;2;;7164;1996-08-06;119660;J;;
1;5693;5710;20;1267;2;1267;Coinsins;Coinsins;VD;2;;7164;1996-08-06;119660;J;;
1;5736;198;20;8614;2;8614;Sulzbach;Sulzbach;ZH;1;;8078;1996-08-02;860660;J;;
1;5756;708;20;2827;2;2827;Schelten;Schelten;BE;1;;1554;1996-09-13;280060;J;;
1;5757;6708;20;2830;2;2830;Vellerat;Vellerat;JU;2;;1554;1999-11-22;280060;J;;
1;5758;715;20;2717;2;2717;Rebévelier;Rebévelier;BE;2;;7656;1989-06-01;272060;J;;
1;5776;2053;20;1773;3;1773;Russy;Russy;FR;2;;5805;1996-09-05;175402;J;;
1;5779;2045;20;1565;2;1565;Vallon;Vallon;FR;2;;726;1996-09-04;153200;J;;
1;5782;2102;20;1670;2;1670;Bionnens;Bionnens;FR;2;;7663;1989-06-01;168060;J;;
1;5791;2117;20;1690;2;1690;Lussy FR;Lussy FR;FR;2;;7663;1996-09-04;168060;J;;
1;5792;2113;20;1687;2;1687;La Magne;La Magne;FR;2;;7663;1996-09-04;168060;J;;
1;5798;2128;20;1653;3;1653;Châtel-Montsalvens;Châtel-sur-Montsalvens;FR;2;;831;1996-09-03;163500;J;;
1;5799;2121;20;1669;2;1669;Lessoc;Lessoc;FR;2;;831;1996-09-03;163500;J;;
1;5802;2162;20;1666;2;1666;Villars-sous-Mont;Villars-sous-Mont;FR;2;;831;2001-09-06;163500;J;;
1;5803;2175;20;1782;2;1782;Autafond;Autafond;FR;2;;926;1996-09-05;170060;J;;
1;5814;2236;20;1727;2;1727;Magnedens;Magnedens;FR;2;;983;1999-07-28;172600;J;;
1;5816;2220;20;1724;4;1724;Montévraz;Montévraz;FR;2;;926;1996-09-05;170060;J;;
1;5818;2216;20;1723;4;1723;Pierrafortscha;Pierrafortscha;FR;2;1;926;1996-09-05;170060;J;;
1;5820;2236;20;1726;4;1726;Posat;Posat;FR;2;;983;1996-09-05;172600;J;;
1;5824;2230;20;1723;3;1723;Villarsel-Marly;Villarsel-sur-Marly;FR;2;;926;1999-03-24;170060;J;;
1;5830;2262;20;1792;2;1792;Guschelmuth;Guschelmuth;FR;1;;1885;1996-09-05;321200;J;;
1;5831;2254;20;1784;3;1784;Wallenried;Wallenried;FR;2;1;1037;1998-07-21;178400;J;;
1;5834;2335;20;1609;2;1609;Besencens;Besencens;FR;2;;7663;1989-06-01;168060;J;;
